timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603281812690,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,0
1603281812695,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812695,6,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,6,0,1
1603281812701,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812701,6,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,1
1603281812707,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812707,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,0
1603281812712,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812712,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,0
1603281812717,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812717,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812722,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812722,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,0
1603281812727,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812727,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,0
1603281812732,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812732,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,1
1603281812737,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812737,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,1
1603281812743,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812743,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812748,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812748,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812753,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812753,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,0
1603281812758,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812758,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,0
1603281812763,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812763,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812768,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812768,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812772,1,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812773,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812778,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812778,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812783,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812783,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812787,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812787,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,1
1603281812792,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812792,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,1
1603281812797,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812797,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,0
1603281812802,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812802,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812807,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812807,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812812,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812812,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812817,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812817,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812821,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812822,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,0
1603281812827,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812827,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812832,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812832,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812837,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812837,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812842,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812842,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,1
1603281812847,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812847,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812852,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812852,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812857,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812857,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812861,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812861,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,1
1603281812866,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812866,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,1
1603281812871,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812871,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,1
1603281812876,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812876,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812881,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812881,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812886,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812886,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812891,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812891,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812896,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812896,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,0
1603281812901,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812901,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,1
1603281812906,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812906,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,1
1603281812911,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812911,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,0
1603281812916,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812916,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,1
1603281812921,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812921,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,0
1603281812927,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812927,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812932,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812932,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,1
1603281812937,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812937,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812942,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812942,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812946,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
